year,NTACode,NTAName,Pop_1E,Education Budget,Police Budget,SocServices Budget,Crime Cost Per Capita Actual,Predicted Crime Cost Per Capita,Total Cost,Cost Change over Year,prior_year_cost,tot_budget
2018,SI14,Grasmere-Arrochar-Ft. Wadsworth,15896,2130,329,215,1100,477,3774,514,422,2674
2019,SI14,Grasmere-Arrochar-Ft. Wadsworth,15896,2246,341,390,336,1044,3313,-461,1100,2977
2015,SI22,West New Brighton-New Brighton-St. George,33175,1362,437,896,8385,5812,11080,NA,6685,2695
2016,SI22,West New Brighton-New Brighton-St. George,33175,1506,366,939,8179,7170,10990,-90,8385,2811
2017,SI22,West New Brighton-New Brighton-St. George,33175,1576,370,939,6265,7007,9150,-1840,8179,2885
2018,SI22,West New Brighton-New Brighton-St. George,33175,1398,550,941,8754,5485,11643,2493,6265,2889
2019,SI22,West New Brighton-New Brighton-St. George,33175,1474,570,1702,8597,7585,12343,700,8754,3746
2015,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276,4588,469,261,285,273,5603,NA,254,5318
2016,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276,5075,393,274,212,300,5954,351,285,5742
2017,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276,5310,397,274,179,241,6160,206,212,5981
2018,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276,4709,591,274,199,215,5773,-387,179,5574
2019,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276,4966,612,497,216,266,6291,518,199,6075
2015,SI25,Oakwood-Oakwood Beach,20618,2186,225,74,124,149,2609,NA,150,2485
2016,SI25,Oakwood-Oakwood Beach,20618,2418,188,78,194,129,2878,269,124,2684
2017,SI25,Oakwood-Oakwood Beach,20618,2530,190,78,147,184,2945,67,194,2798
2018,SI25,Oakwood-Oakwood Beach,20618,2244,283,78,227,147,2832,-113,147,2605
2019,SI25,Oakwood-Oakwood Beach,20618,2366,293,141,120,220,2920,88,227,2800
2015,SI28,Port Richmond,19141,1534,153,621,1080,1525,3388,NA,1823,2308
2016,SI28,Port Richmond,19141,1697,128,651,1117,939,3593,205,1080,2476
2017,SI28,Port Richmond,19141,1775,129,651,1274,968,3829,236,1117,2555
2018,SI28,Port Richmond,19141,1574,192,652,546,1094,2964,-865,1274,2418
2019,SI28,Port Richmond,19141,1660,199,1180,678,598,3717,753,546,3039
2015,SI32,Rossville-Woodrow,21397,2445,184,63,129,108,2821,NA,181,2692
2016,SI32,Rossville-Woodrow,21397,2704,154,66,87,67,3011,190,129,2924
2017,SI32,Rossville-Woodrow,21397,2829,155,66,126,34,3176,165,87,3050
2018,SI32,Rossville-Woodrow,21397,2509,231,66,128,65,2934,-242,126,2806
2019,SI32,Rossville-Woodrow,21397,2646,239,119,114,74,3118,184,128,3004
2015,SI35,New Brighton-Silver Lake,18083,2102,675,467,434,1249,3678,NA,1398,3244
2016,SI35,New Brighton-Silver Lake,18083,2325,565,489,1409,486,4788,1110,434,3379
2017,SI35,New Brighton-Silver Lake,18083,2432,571,489,495,1261,3987,-801,1409,3492
2018,SI35,New Brighton-Silver Lake,18083,2157,849,490,498,535,3994,7,495,3496
2019,SI35,New Brighton-Silver Lake,18083,2275,880,887,784,601,4826,832,498,4042
2015,SI36,Old Town-Dongan Hills-South Beach,24927,2166,223,385,368,800,3142,NA,962,2774
2016,SI36,Old Town-Dongan Hills-South Beach,24927,2396,187,403,340,330,3326,184,368,2986
2017,SI36,Old Town-Dongan Hills-South Beach,24927,2507,189,403,241,308,3340,14,340,3099
2018,SI36,Old Town-Dongan Hills-South Beach,24927,2223,281,404,576,229,3484,144,241,2908
2019,SI36,Old Town-Dongan Hills-South Beach,24927,2344,291,731,211,547,3577,93,576,3366
2015,SI37,Stapleton-Rosebank,26247,1426,458,650,1456,980,3990,NA,853,2534
2016,SI37,Stapleton-Rosebank,26247,1577,383,681,955,1465,3596,-394,1456,2641
2017,SI37,Stapleton-Rosebank,26247,1650,387,681,1536,1066,4254,658,955,2718
2018,SI37,Stapleton-Rosebank,26247,1463,576,683,1185,1529,3907,-347,1536,2722
2019,SI37,Stapleton-Rosebank,26247,1543,597,1235,2844,1337,6219,2312,1185,3375
2015,SI45,New Dorp-Midland Beach,21358,2091,215,135,1764,1261,4205,NA,1516,2441
2016,SI45,New Dorp-Midland Beach,21358,2312,180,141,2084,1459,4717,512,1764,2633
2017,SI45,New Dorp-Midland Beach,21358,2420,182,141,1227,1713,3970,-747,2084,2743
2018,SI45,New Dorp-Midland Beach,21358,2146,271,141,1527,1032,4085,115,1227,2558
2019,SI45,New Dorp-Midland Beach,21358,2263,281,256,3169,1288,5969,1884,1527,2800
2015,SI54,Great Kills,43602,1655,169,92,173,56,2089,NA,131,1916
2016,SI54,Great Kills,43602,1831,142,97,115,91,2185,96,173,2070
2017,SI54,Great Kills,43602,1915,143,97,137,45,2292,107,115,2155
2018,SI54,Great Kills,43602,1699,213,97,123,62,2132,-160,137,2009
2019,SI54,Great Kills,43602,1791,221,175,201,64,2388,256,123,2187
